8461_281231_000000_000000	Before long the inmates of the castle had other things to occupy them.	Before long the inmates of the castle had other things to occupy them.	false	0	10.8	22.360144
8461_281231_000049_000000	Orders were at once given by the Grand Master to prepare the great hall of the preceptory for the trial of Rebecca as a sorceress; and even the president of the establishment did not hesitate to aid in procuring false evidence against the unfortunate Jewess, for the purpose of ingratiating himself with Beaumanoir, from whom he had kept secret the presence of Rebecca in the holy precincts.	Orders were at once given by the Grand Master to prepare the great hall of the preceptory for the trial of Rebecca as a sorceress; and even the president of the establishment did not hesitate to aid in procuring false evidence against the unfortunate Jewess, for the purpose of ingratiating himself with Beaumanoir, from whom he had kept secret the presence of Rebecca in the holy precincts.	false	1128.47	1150.39	22.30094
8461_281231_000050_000000	When the ponderous castle bell had tolled the point of noon, the Jewess was led from her secluded chamber into the great hall in which the Grand Master had for the time established his court of justice.	When the ponderous castle bell had tolled the point of noon, the Jewess was led from her secluded chamber into the great hall in which the Grand Master had for the time established his court of justice.	true	1152.35	1163.37	22
8461_281231_000050_000001	As she passed through the crowd of squires and yeomen, who already filled the lower end of the vast apartment, a scrap of paper was thrust into her hand, which she received almost unconsciously, and continued to hold without examining its contents.	As she passed through the crowd of squires and yeomen, who already filled the lower end of the vast apartment, a scrap of paper was thrust into her hand, which she received almost unconsciously, and continued to hold without examining its contents.	false	1163.37	1179.27	20.215921
8461_281231_000050_000002	The assurance that she possessed some friend in this awful assembly gave her courage to look around, and to mark into whose presence she had been conducted.	The assurance that she possessed some friend in this awful assembly gave her courage to look around, and to mark into whose presence she had been conducted.	false	1179.27	1189.33	22.277077
8461_281231_000050_000003	She gazed accordingly upon a scene which might well have struck terror into a bolder heart than hers.	She gazed accordingly upon a scene which might well have struck terror into a bolder heart than hers.	false	1190	1197.21	22.572742
8461_281231_000051_000000	On an elevated seat at the upper end of the great hall, directly before the accused, sat the Grand Master of the Temple, in full and ample robes of flowing white, holding in his hand the mystic staff, which bore the symbol of the Order.	On an elevated seat at the upper end of the great hall, directly before the accused, sat the Grand Master of the Temple, in full and ample robes of flowing white, holding in his hand the mystic staff, which bore the symbol of the Order.	false	1197.21	1212.04	22
8461_281231_000051_000001	At his feet was placed a table, occupied by two scribes, whose duty it was to record the proceedings of the day.	At his feet was placed a table, occupied by two scribes, whose duty it was to record the proceedings of the day.	false	1212.47	1219.41	21.565308
8461_281231_000051_000002	Their chairs were black and formed a marked contrast to the warlike appearance of the knights who attended the solemn gathering.	Their chairs were black and formed a marked contrast to the warlike appearance of the knights who attended the solemn gathering.	false	1219.41	1226.74	22.064314
8461_281231_000051_000003	The preceptors, of whom there were four present, occupied seats behind their superiors; and behind them stood the esquires of the Order, robed in white.	The preceptors, of whom there were four present, occupied seats behind their superiors; and behind them stood the esquires of the Order, robed in white.	false	1227.92	1237.36	23.388115
8461_281231_000052_000000	The whole assembly wore an aspect of the most profound gravity-- the reflection, as it were, of the sombre countenance of the austere and relentless Grand Master.	The whole assembly wore an aspect of the most profound gravity- the reflection, as it were, of the sombre countenance of the austere and relentless Grand Master.	true	1238.51	1248.61	21.36599
8461_281231_000052_000001	The lower part of the hall was filled with guards and others whom curiosity had drawn together to witness the important and impressive ceremony.	The lower part of the hall was filled with guards and others whom curiosity had drawn together to witness the important and impressive ceremony.	false	1249.46	1271.37	22.562687
