3538_142836_000000_000000	[Illustration]	[Illustration]	false	9.9	10.65	12
3538_142836_000021_000017	They are preserved abroad in most ornamental and elegant forms.	They are preserved abroad in most ornamental and elegant forms.	true	1010.66	1014.06	19
3538_142836_000021_000018	And since, from the facilities of travel, we have become so familiar with the tables of the French, chocolate in different forms is indispensable to our desserts.	And since, from the facilities of travel, we have become so familiar with the tables of the French, chocolate in different forms is indispensable to our desserts.	false	1014.06	1022.95	22.218687
3538_142836_000022_000000	ICES.	ICES.	true	1024.34	1025.16	18.278915
3538_142836_000023_000000	510.	five hundred ten.	false	1025.16	1027	17.187244
3538_142836_000023_000001	Ices are composed, it is scarcely necessary to say, of congealed cream or water, combined sometimes with liqueurs or other flavouring ingredients, or more generally with the juices of fruits.	Ices are composed, it is scarcely necessary to say, of congealed cream or water, combined sometimes with liqueurs or other flavouring ingredients, or more generally with the juices of fruits.	true	1027.55	1039.27	21.46525
3538_142836_000023_000002	At desserts, or at some evening parties, ices are scarcely to be dispensed with.	At desserts, or at some evening parties, ices are scarcely to be dispensed with.	true	1039.82	1044.67	20.286854
3538_142836_000023_000003	The principal utensils required for making ice-creams are ice-tubs, freezing-pots, spaddles, and a cellaret.	The principal utensils required for making ice creams are ice tubs, freezing pots, spaddles, and a cellaret.	true	1044.74	1052.08	20.255676
3538_142836_000023_000004	The tub must be large enough to contain about a bushel of ice, pounded small, when brought out of the ice-house, and mixed very carefully with either _salt, nitre,_ or _soda._ The freezing-pot is best made of pewter.	The tub must be large enough to contain about a bushel of ice, pounded small, when brought out of the ice house, and mixed very carefully with either underscore salt, nitre,underscore or underscore soda.underscore The freezing pot is best made of pewter.	false	1052.48	1065.34	21.183275
3538_142836_000023_000005	If it be of tin, as is sometimes the case, the congelation goes on too rapidly in it for the thorough intermingling of its contents, on which the excellence of the ice greatly depends.	If it be of tin, as is sometimes the case, the congelation goes on too rapidly in it for the thorough intermingling of its contents, on which the excellence of the ice greatly depends.	false	1065.56	1076.86	19.638262
3538_142836_000023_000006	The spaddle is generally made of copper, kept bright and clean.	The spaddle is generally made of copper, kept bright and clean.	true	1077.47	1081.51	19.1877
3538_142836_000023_000007	The cellaret is a tin vessel, in which ices are kept for a short time from dissolving.	The cellaret is a tin vessel, in which ices are kept for a short time from dissolving.	false	1081.73	1086.28	18.910046
3538_142836_000023_000008	The method to be pursued in the freezing process must be attended to.	The method to be pursued in the freezing process must be attended to.	true	1086.71	1090.6	19
3538_142836_000023_000009	When the ice-tub is prepared with fresh-pounded ice and salt, the freezing-pot is put into it up to its cover.	When the ice tub is prepared with fresh pounded ice and salt, the freezing pot is put into it up to its cover.	true	1090.97	1097.02	20.808048
3538_142836_000023_000010	The articles to be congealed are then poured into it and covered over; but to prevent the ingredients from separating and the heaviest of them from falling to the bottom of the mould, it is requisite to turn the freezing-pot round and round by the handle, so as to keep its contents moving until the congelation commences.	The articles to be congealed are then poured into it and covered over; but to prevent the ingredients from separating and the heaviest of them from falling to the bottom of the mould, it is requisite to turn the freezing pot round and round by the handle, so as to keep its contents moving until the congelation commences.	false	1097.21	1113.64	20
3538_142836_000023_000011	As soon as this is perceived (the cover of the pot being occasionally taken off for the purpose of noticing when freezing takes place), the cover is immediately closed over it, ice is put upon it, and it is left in this state till it is served.	As soon as this is perceived (the cover of the pot being occasionally taken off for the purpose of noticing when freezing takes place), the cover is immediately closed over it, ice is put upon it, and it is left in this state till it is served.	false	1114.19	1127.38	21.211958
3538_142836_000023_000012	The use of the spaddle is to stir up and remove from the sides of the freezing pot the cream, which in the shaking may have washed against it, and by stirring it in with the rest, to prevent waste of it occurring.	The use of the spaddle is to stir up and remove from the sides of the freezing pot the cream, which in the shaking may have washed against it, and by stirring it in with the rest, to prevent waste of it occurring.	true	1127.42	1138.18	20
3538_142836_000023_000013	Any negligence in stirring the contents of the freezing-pot before congelation takes place, will destroy the whole: either the sugar sinks to the bottom and leaves the ice insufficiently sweetened, or lumps are formed, which disfigure and discolour it.	Any negligence in stirring the contents of the freezing pot before congelation takes place, will destroy the whole: either the sugar sinks to the bottom and leaves the ice insufficiently sweetened, or lumps are formed, which disfigure and discolour it.	false	1138.49	1153.65	20.275137
3538_142836_000024_000000	1511.	fifteen eleven.	false	1153.65	1155.24	15.266997
3538_142836_000024_000001	The aged, the delicate, and children should abstain from ices or iced beverages; even the strong and healthy should partake of them in moderation.	The aged, the delicate, and children should abstain from ices or iced beverages; even the strong and healthy should partake of them in moderation.	true	1155.24	1163.74	20.667526
3538_142836_000024_000002	They should be taken immediately after the repast, or some hours after, because the taking these substances _during_ the process of digestion is apt to provoke indisposition.	They should be taken immediately after the repast, or some hours after, because the taking these substances underscore during underscore the process of digestion is apt to provoke indisposition.	false	1164.14	1174.69	21
3538_142836_000024_000003	It is necessary, then, that this function should have scarcely commenced, or that it should be completely finished, before partaking of ices.	It is necessary, then, that this function should have scarcely commenced, or that it should be completely finished, before partaking of ices.	true	1174.88	1182.37	20.402346
3538_142836_000024_000004	It is also necessary to abstain from them when persons are very warm, or immediately after taking violent exercise, as in some cases they have produced illnesses which have ended fatally.	It is also necessary to abstain from them when persons are very warm, or immediately after taking violent exercise, as in some cases they have produced illnesses which have ended fatally.	false	1182.65	1223.91	20.213907
